Workers,StartTime,EndTime,DurationSeconds
1,09/25/2025 12:29:54,09/25/2025 12:48:51,1137.0161467
2,09/25/2025 12:50:00,09/25/2025 12:50:22,21.5611727
3,09/25/2025 12:51:46,09/25/2025 12:58:06,379.4733611
4,09/25/2025 13:02:25,09/25/2025 13:08:05,339.3703677
